Year,0.2,1.1,3,1.2,2.1,1.3,2.2,3.1,1.4,2.3,3.2,2.4,3.3,4.2,3.4,Not Aged,Total Aged
1982,1,,2,55,,139,46,1,6,24,8,11,3,,,38,296
1983,2,1,3,189,30,380,218,,,63,6,,2,,,306,894
1984,,,,46,1,168,321,1,,190,3,,7,1,,298,738
1985,,6,,10,1,80,187,1,2,551,16,3,17,,,297,874
1986,,9,1,208,26,131,283,,1,594,21,2,9,,,250,1285
1987,,7,,252,185,205,131,,,276,,2,1,,,166,1059
1988,,,,48,,73,214,,,35,,,,,,176,370
1989,,8,,93,46,386,940,1,,187,9,,1,,,311,1671
1990,,16,1,130,3,226,1466,,2,656,10,,,,,420,2510
1991,,5,,168,28,74,74,2,1,1837,3,4,53,,1,351,2250
1992,,95,,137,85,402,188,8,2,374,11,23,3,,,293,1328
1993,,25,1,723,52,179,982,,3,162,178,1,21,,,361,2327
1994,,25,,693,18,784,85,1,2,933,1,2,40,,,391,2584
1995,1,210,,250,71,1521,138,,7,111,,6,,,,363,2315
1996,1,47,1,374,26,399,543,,12,179,4,1,,,,263,1587
1997,,65,,252,30,968,64,,4,904,,,,,,350,2287
---,,,,,,,,,,,,,,,,,
1999,,6,,40,,2201,4,,,397,1,,,,,458,2649
2000,1,35,3,367,2,869,13,,80,4,,,,,,223,1374
2001,,46,2,285,30,825,18,1,2,22,,,,,,498,1231
2002,,4,,845,21,194,864,,2,212,1,2,1,,,487,2146
2003,,1,,98,10,163,1414,,1,308,,2,,,,538,1997
2004,,28,,884,18,1386,68,,,165,,,,,,802,2549
2005,1,46,,394,228,1067,429,,4,195,,2,,,,595,2366
2006,,,,280,,96,77,,,48,,,,,,126,501
2007,,,,26,,356,17,,2,59,,1,,,,174,461
2008,,1,,56,15,265,17,,5,90,,2,,,,180,451
2009,,20,,40,12,187,182,,,11,2,,,,,175,454
2010,,,,281,4,47,69,,1,83,,,,,,142,485
2011,,53,,24,46,262,39,,,70,,,,,,195,494
2012,,50,,259,38,21,186,,,16,8,,,,,117,578
2013,,19,,96,5,115,246,,,94,,,,,,126,575
2014,,76,,103,33,206,10,,2,102,,,2,,,151,534
2015,,43,,78,82,96,88,,,2,2,,,,,224,391
2016,,14,,285,13,48,137,,,14,,,,,,188,511
2017,,245,,25,17,149,24,,,52,,,,,,198,512
2018,,25,,447,,29,42,,,6,,,,,,166,549
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Average:
