Date,1953,1954,1955,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
10-Jun,,,,,,,,,,,,,,,,,0,,,,0,,3,2,6,0,,,0,,,,,,,,,,,,,,,,
11-Jun,,,,,,,,,,,,,,,0,,,,,,0,,2,0,29,0,,,0,,,,,,,,,,,,,,,,
12-Jun,,,,,,,,,,,,,,,0,,,0,,,0,,1,2,18,0,,,0,,,,,,,,,,,,,,,,
13-Jun,,,,,,,,,,,,,,,0,0,,9,,,1,11,4,3,29,0,,,1,,,,,,,,1,,,26,,3,,0,
14-Jun,,,,,,,,,,,,,,,0,0,6,3,,,0,6,24,3,24,5,,,0,,,,,41,,,3,,,7,1,4,,0,
15-Jun,,,,,,,,,,,,,,,0,6,2,4,,,2,3,21,2,22,0,,,7,,,,,33,,0,3,,,57,1,1,1,12,7
16-Jun,0,,,,,,,,,,,,1,5,14,19,51,0,,,0,5,60,11,43,0,,,12,,,,,220,19,0,9,,2,74,0,22,2,100,0
17-Jun,0,,,,,,,,,,4,,0,0,0,20,27,12,,,4,10,76,0,23,3,,86,5,0,,0,0,276,4,1,8,3,42,88,0,11,0,160,3
18-Jun,0,,,,,,,,,,23,,0,0,3,32,41,8,,,1,0,39,1,53,119,,220,0,0,,0,0,341,241,1,4,1,2,31,12,77,1,351,325
19-Jun,0,,,,,,,,,,25,,0,1,0,70,34,14,19,,0,6,17,0,61,8,,447,11,9,0,12,0,397,42,0,12,48,2,26,11,60,52,20,1419
20-Jun,7,11,,,,,,,,,11,,1,0,39,47,68,18,78,8,1,10,20,1,136,49,,97,4,7,0,0,0,93,66,0,2,52,0,31,0,96,0,108,37
21-Jun,33,12,15,,,0,,,,,11,,0,0,35,54,134,21,32,76,3,9,36,0,36,58,,61,7,0,0,0,2,667,349,1,6,170,0,30,0,104,33,29,1067
22-Jun,11,4,40,,,0,1,,,,11,,0,0,10,277,67,10,51,135,1,4,23,0,33,47,246,63,1,12,18,0,120,535,155,2,1,334,6,10,1,118,3,765,1527
23-Jun,93,3,40,8,13,0,0,,,,18,,0,3,7,30,125,7,156,524,8,10,74,2,103,71,160,44,13,52,0,0,65,92,143,3,81,108,358,6,1,304,3,2060,45
24-Jun,38,3,67,1,11,1,0,,,,24,28,0,3,285,105,149,2,155,411,16,31,54,7,561,89,143,15,2,14,4,0,66,311,50,0,260,1055,535,12,3,35,14,48,75
25-Jun,47,47,464,0,12,0,0,,,,4,32,0,1,228,234,31,16,92,61,9,39,42,11,343,9,71,63,0,0,2,19,41,205,927,13,69,193,0,1062,0,490,34,319,842
26-Jun,42,36,274,2,12,37,0,0,,,2,147,180,2,28,167,18,7,89,46,15,54,1,48,201,514,44,401,2,2,3,36,59,537,124,12,160,32,799,1022,0,261,157,1496,207
